"sname"	"Nmax"	"numclones"	"Nevent"	"tevent"	"s"	"pctfit"	"clonetime"	"clonemuts"	"br"	"dr"	"mu"	"b"	"d"	"tend"	"clonalmuts"	"area"	"area_pval"	"Dk"	"Dk_pval"	"meanD"	"meanD_pval"	"rsq"	"rsq_pval"	"fmin"	"fmax"	"det_limit"	"ploidy"	"read_depth"	"num_muts"	"draw"
"10"	10000	1	"969"	"7.882854955747907"	"5.138634277440037"	"0.6498"	"7.8872950988170585"	"123"	"0.6931471805599453,4.254977041896199"	"0.0,0.0"	7.495671915922358	0.6931471805599453	0.0	9.732560138451607	917	0.3987783938621092	0.0	0.7729540977375184	0.0	0.5731450464687777	0.0	0.37716077467066944	0.0	0.02	0.6	0.02	2	1200.0	1294.0	61.0
"10"	10000	1	"1369"	"8.580254393441052"	"9.58965784210141"	"0.6422"	"8.580654997551768"	"139"	"0.6931471805599453,7.340191476347107"	"0.0,0.0"	8.528258435773019	0.6931471805599453	0.0	9.942041542718686	905	0.3757290844473178	0.0	0.7297212547220439	0.0	0.53369919340363	0.0	0.39399198647291234	0.0	0.02	0.6	0.02	2	1200.0	1356.0	63.0
"10"	10000	1	"1200"	"8.623593576772578"	"6.5794508272317325"	"0.661"	"8.625360154242918"	"150"	"0.6931471805599453,5.2536749710884205"	"0.0,0.0"	6.942480305589433	0.6931471805599453	0.0	10.183981889214893	905	0.39113564666468653	0.0	0.7585966081575465	0.0	0.5563410037171556	0.0	0.3833233522027527	0.0	0.02	0.6	0.02	2	1200.0	1329.0	63.0
"10"	10000	1	"1267"	"8.994276501938788"	"8.79578988359124"	"0.7077"	"8.994615568814138"	"140"	"0.6931471805599453,6.789924139168903"	"0.0,0.0"	8.37508329372136	0.6931471805599453	0.0	10.183766169370058	896	0.38967019559944116	0.0	0.7582692127843031	0.0	0.5534317689381021	0.0	0.384755329426253	0.0	0.02	0.6	0.02	2	1200.0	1335.0	61.0
"10"	10000	1	"1583"	"9.426404426329537"	"9.23361718813269"	"0.5668"	"9.426547918701715"	"171"	"0.6931471805599453,7.093402900883969"	"0.0,0.0"	7.147249079763181	0.6931471805599453	0.0	10.900638897787685	909	0.41986483969298777	0.0	0.7849494884321929	0.0	0.5723528675173701	0.0	0.3899315066808732	0.0	0.02	0.6	0.02	2	1200.0	1293.0	62.0
"10"	10000	1	"1236"	"12.748691923459926"	"7.906100201734733"	"0.6963"	"12.751617871853764"	"150"	"0.6931471805599453,6.173238244616791"	"0.0,0.0"	8.556615714356232	0.6931471805599453	0.0	14.042653099144571	890	0.39573718959785803	0.0	0.769288751396886	0.0	0.5603463764087556	0.0	0.3841457033485618	0.0	0.02	0.6	0.02	2	1200.0	1309.0	64.0
"10"	10000	1	"850"	"9.222502456131963"	"5.737762202019027"	"0.5681"	"9.23016973631104"	"192"	"0.6931471805599453,4.6702608736128575"	"0.0,0.0"	7.78236994461951	0.6931471805599453	0.0	11.549341786221731	900	0.4005243421307921	0.0	0.7840972476584166	0.0	0.5657196148403083	0.0	0.3836728085102976	0.0	0.02	0.6	0.02	2	1200.0	1318.0	56.0
"10"	10000	1	"1003"	"10.05026343482879"	"5.982830411156963"	"0.6856"	"10.052756825509764"	"154"	"0.6931471805599453,4.840129211821692"	"0.0,0.0"	8.961282582239516	0.6931471805599453	0.0	11.73327668688039	917	0.3819747554069335	0.0	0.7550929468251727	0.0	0.5536078486655951	0.0	0.3812227500384997	0.0	0.02	0.6	0.02	2	1200.0	1361.0	65.0
"10"	10000	1	"954"	"8.703297918147792"	"5.546899928186354"	"0.6706"	"8.704431081638825"	"123"	"0.6931471805599453,4.5379652266304795"	"0.0,0.0"	7.894398503375065	0.6931471805599453	0.0	10.548684235992349	943	0.379947311793919	0.0	0.7588223860191888	0.0	0.5588995397196617	0.0	0.3752474121979208	0.0	0.02	0.6	0.02	2	1200.0	1346.0	62.0
"10"	10000	1	"1384"	"9.867932965518385"	"6.506572294118209"	"0.6268"	"9.86803943139504"	"143"	"0.6931471805599453,5.203159421337437"	"0.0,0.0"	7.492855560403901	0.6931471805599453	0.0	11.284632586776983	918	0.39902315088063484	0.0	0.7620229380309376	0.0	0.5582500895233099	0.0	0.387322173538851	0.0	0.02	0.6	0.02	2	1200.0	1322.0	60.0
"10"	10000	1	"1295"	"10.39335290903626"	"8.93018969119171"	"0.6304"	"10.393555298751615"	"173"	"0.6931471805599453,6.8830829868749674"	"0.0,0.0"	8.769423338475244	0.6931471805599453	0.0	11.909638630216842	889	0.3834543981353196	0.0	0.7545963717072726	0.0	0.5486812697018992	0.0	0.38606273136693703	0.0	0.02	0.6	0.02	2	1200.0	1338.0	62.0
"10"	10000	1	"2176"	"10.494485406565158"	"8.404516572197956"	"0.5074"	"10.494896857896217"	"128"	"0.6931471805599453,6.5187141465482945"	"0.0,0.0"	7.776543258610346	0.6931471805599453	0.0	11.674987427252155	943	0.3993449727238171	0.0	0.7502871531387356	0.0	0.5600458350470483	0.0	0.3870994349908542	0.0	0.02	0.6	0.02	2	1200.0	1324.0	64.0
"10"	10000	2	"1509,1510"	"8.0335847330185,4.265658104897841"	"8.387534738654516,4.915886131174791"	"0.6305,0.0131"	"8.03521445290604,8.036409675274511"	"146,129"	"0.6931471805599453,6.50694323650692,4.100579792337489"	"0.0,0.0,0.0"	7.607967125986214	0.6931471805599453	0.0	9.311820627449825	930	0.40974906804695704	0.0	0.7810766038856487	0.0	0.575158186649533	0.0	0.3805375101486236	0.0	0.02	0.6	0.02	2	1200.0	1313.0	58.0
"10"	10000	2	"50,792"	"3.8911993349074554,7.464026878274707"	"0.9876294758146391,5.467142264886161"	"0.1267,0.609"	"3.89468643554026,7.464661431635994"	"88,183"	"0.6931471805599453,1.377719767158759,4.482681427185901"	"0.0,0.0,0.0"	9.099267953047413	0.6931471805599453	0.0	9.434143128765616	890	0.39477429739339776	0.0	0.7683902719631843	0.0	0.565241464248679	0.0	0.3816241365414593	0.0	0.02	0.6	0.02	2	1200.0	1326.0	63.0
"10"	10000	2	"626,627"	"8.378038732020324,3.954407553265684"	"5.4738723954326325,1.3719975630136845"	"0.701,0.0007"	"8.381778814220151,8.381866253250708"	"110,109"	"0.6931471805599453,4.487346398198988,1.6441434230979965"	"0.0,0.0,0.0"	7.258248947089745	0.6931471805599453	0.0	10.588540779159246	939	0.3850181324652696	0.0	0.7626626428536091	0.0	0.5628975642894496	0.0	0.3754280033888343	0.0	0.02	0.6	0.02	2	1200.0	1326.0	65.0
"10"	10000	2	"343,344"	"6.328477100683856,4.589701810944057"	"6.409737966000677,6.562451413688223"	"0.6525,0.2468"	"6.331413427051977,6.337584580715949"	"90,93"	"0.6931471805599453,5.136038979821353,5.241891875519564"	"0.0,0.0,0.0"	8.028431404140797	0.6931471805599453	0.0	7.8883507692749895	924	0.38733884847742883	0.0	0.7193015853743149	0.0	0.5449564668245601	0.0	0.39062942574942117	0.0	0.02	0.6	0.02	2	1200.0	1344.0	63.0
